TIME,year,month,T#AT#IT,T#AU#IT,T#BE#IT,T#CH#IT,T#CY#IT,T#CZ#IT,T#DE#IT,T#DK#IT,T#ES#IT,T#FR#IT,T#GB#IT,T#GR#IT,T#HR#IT,T#HU#IT,T#IL#IT,T#MT#IT,T#NL#IT,T#NO#IT,T#PL#IT,T#PT#IT,T#RO#IT,T#RU#IT,T#SE#IT,T#SI#IT,T#SK#IT,T#TR#IT,T#US#IT,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione
2015-10-01,2015,10,608897.86,311871.0,309065.29,430578.0,,157743.57,4986904.86,56385.86,146095.71,1540735.29,543845.14,86281.43,124738.71,25491.57,,,1142137.86,,400570.57,,184807.29,116869.57,,239604.57,60439.0,148079.43,1054877.86,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26,0.56,0.04,0.51,0.04,-0.5,-0.29
2015-11-01,2015,11,611355.43,346694.71,332417.43,435472.86,,143589.0,4953882.71,53813.29,142740.57,1579817.14,550872.43,90019.86,121150.57,28666.71,,,1171139.0,,426447.86,,193614.71,,,249170.57,59919.14,161984.86,1002691.43,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26,0.56,0.04,0.51,0.04,-0.5,-0.29
2015-12-01,2015,12,588319.43,362202.29,302254.0,421992.0,,147374.29,4690418.29,52470.14,116255.0,1522934.14,496628.86,73246.14,110232.43,27699.14,,,1151880.57,,409683.14,,201809.14,,,241393.57,59210.57,156900.0,1095350.29,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26,0.56,0.04,0.51,0.04,-0.5,-0.29
2016-01-01,2016,1,583245.71,378434.29,288468.86,393999.43,,153384.86,4684498.29,56569.43,117130.71,1559784.43,532638.57,64375.43,101166.14,23696.14,,38442.43,1122313.14,,361566.71,,194200.43,,,225545.57,54998.86,129930.43,1043837.29,41151.77,30345.01,41250.81,36711.44,25866.19,62265.66,0.76,0.02,0.51,0.06,-0.46,-0.25
2016-02-01,2016,2,626361.86,381679.86,292572.43,344363.57,,153510.57,4658375.71,60470.29,125745.43,1619717.29,525480.29,69210.57,84868.43,28820.57,,32906.0,1086706.57,,353050.86,,168345.86,,,235983.43,60195.86,125893.0,964087.71,41295.25,30447.63,41398.36,36769.95,25978.02,62352.06,,0.0,0.51,0.08,-0.42,-0.2
2016-03-01,2016,3,667856.14,385917.86,348771.86,406224.43,,179245.43,5437710.71,53040.0,150836.43,1871553.29,564821.29,70540.86,92125.71,33714.0,,31763.86,1238636.29,48152.0,389651.86,51559.29,190109.86,,59935.29,276382.86,69988.71,139811.0,986058.43,41438.72,30550.25,41545.91,36828.47,26089.85,62438.46,,,0.5,0.1,-0.37,-0.16
2016-04-01,2016,4,692241.43,364315.0,345441.29,400458.29,,180450.43,5418199.86,63435.86,146646.71,1945096.0,609756.86,63045.0,78602.29,33458.0,,34975.57,1309614.29,48326.0,418235.0,54379.71,187514.29,,55340.71,271122.71,74761.86,133386.71,1049201.29,41582.2,30652.87,41693.46,36886.99,26201.67,62524.87,1.37,-0.04,0.5,0.12,-0.33,-0.12
2016-05-01,2016,5,676596.57,349057.29,327385.14,389306.57,,160590.29,5429086.86,62071.0,159328.71,2021916.86,634072.43,61572.14,89094.86,29276.0,,30211.86,1338874.29,47886.14,406233.43,48728.57,179751.43,,53458.14,289228.43,80051.86,127332.57,1039464.71,41725.67,30755.49,41841.02,36945.5,26313.5,62611.27,1.57,-0.06,0.5,0.14,-0.29,-0.08
2016-06-01,2016,6,667807.57,313985.57,296370.71,380612.86,,186188.29,5590342.29,70639.71,167116.0,2019744.71,625597.0,67891.14,94887.29,26038.86,,26042.43,1335079.29,48719.71,378473.57,46614.57,157810.86,,48376.86,301269.14,80368.86,108954.43,1111846.86,41869.15,30858.11,41988.57,37004.02,26425.33,62697.67,1.77,-0.08,0.49,0.16,-0.25,-0.03
2016-07-01,2016,7,731854.71,279956.29,311242.57,420261.0,,173563.0,6046184.0,,180617.43,2183755.86,687627.14,87710.0,100016.0,26295.29,,25094.43,1421541.57,54227.43,429292.29,48014.29,162022.14,,50307.71,309433.0,75723.29,108046.29,1104213.29,42012.62,30960.73,42136.12,37062.53,26537.16,62784.07,1.97,-0.09,0.49,0.18,-0.2,0.01
